# All functions Ghidra discovered.
# entry                section     size    name
0x0000000180097009  .text            1  FUN_180097009
0x0000000180097087  .text            1  FUN_180097087
0x0000000180097136  .text            1  FUN_180097136
0x00000001800971e4  .text            1  FUN_1800971e4
0x00000001800972d8  .text            1  FUN_1800972d8
0x0000000180097311  .text            1  FUN_180097311
0x00000001800973b0  .text            1  FUN_1800973b0
0x0000000180097460  .text            1  FUN_180097460
0x0000000180097600  .text            1  FUN_180097600
0x0000000180097c20  .text            1  FUN_180097c20
0x0000000180097c50  .text            1  FUN_180097c50
0x0000000180098850  .text            1  FUN_180098850
0x000000018009a010  .text            1  FUN_18009a010
0x000000018009a074  .text            1  FUN_18009a074
0x000000018009a14f  .text            1  FUN_18009a14f
0x000000018009a170  .text            1  FUN_18009a170
0x000000018009a2b0  .text            1  FUN_18009a2b0
0x000000018009a350  .text            1  FUN_18009a350
0x000000018009a3a0  .text            1  FUN_18009a3a0
0x000000018009a43e  .text            1  FUN_18009a43e
0x000000018009a47a  .text            1  FUN_18009a47a
0x000000018009a6e7  .text            1  FUN_18009a6e7
0x000000018009a750  .text            1  FUN_18009a750
0x000000018009a7c0  .text            1  FUN_18009a7c0
0x000000018009a85d  .text            1  FUN_18009a85d
0x000000018009a89a  .text            1  FUN_18009a89a
0x000000018009ab77  .text            1  FUN_18009ab77
0x000000018009abf0  .text            1  FUN_18009abf0
0x000000018009ac50  .text            1  FUN_18009ac50
0x000000018009acb0  .text            1  FUN_18009acb0
0x000000018009ad10  .text            1  FUN_18009ad10
0x000000018009ad70  .text            1  FUN_18009ad70
0x000000018009add0  .text            1  FUN_18009add0
0x000000018009ae30  .text            1  FUN_18009ae30
0x000000018009ae90  .text            1  FUN_18009ae90
0x000000018009aef0  .text            1  FUN_18009aef0
0x000000018009af50  .text            1  FUN_18009af50
0x000000018009afb0  .text            1  FUN_18009afb0
0x000000018009b010  .text            1  FUN_18009b010
0x000000018009b070  .text            1  FUN_18009b070
0x000000018009b0d0  .text            1  FUN_18009b0d0
0x000000018009b130  .text            1  FUN_18009b130
0x000000018009b190  .text            1  FUN_18009b190
0x000000018009b1f0  .text            1  FUN_18009b1f0
0x000000018009b250  .text            1  FUN_18009b250
0x000000018009b2b0  .text            1  FUN_18009b2b0
0x000000018009b310  .text            1  FUN_18009b310
0x000000018009b370  .text            1  FUN_18009b370
0x000000018009b3d0  .text            1  FUN_18009b3d0
0x000000018009b430  .text            1  FUN_18009b430
0x000000018009b490  .text            1  FUN_18009b490
0x000000018009b4f0  .text            1  FUN_18009b4f0
0x000000018009b550  .text            1  FUN_18009b550
0x000000018009b5b0  .text            1  FUN_18009b5b0
0x000000018009b610  .text            1  FUN_18009b610
0x000000018009b670  .text            1  FUN_18009b670
0x000000018009b6d0  .text            1  FUN_18009b6d0
0x000000018009b730  .text            1  FUN_18009b730
0x000000018009b790  .text            1  FUN_18009b790
0x000000018009b7f0  .text            1  FUN_18009b7f0
0x000000018009b850  .text            1  FUN_18009b850
0x000000018009b8b0  .text            1  FUN_18009b8b0
0x000000018009b910  .text            1  FUN_18009b910
0x000000018009b970  .text            1  FUN_18009b970
0x000000018009b9d0  .text            1  FUN_18009b9d0
0x000000018009ba30  .text            1  FUN_18009ba30
0x000000018009ba90  .text            1  FUN_18009ba90
0x000000018009baf0  .text            1  FUN_18009baf0
0x000000018009bb50  .text            1  FUN_18009bb50
0x000000018009bbb0  .text            1  FUN_18009bbb0
0x000000018009bc10  .text            1  FUN_18009bc10
0x000000018009bc70  .text            1  FUN_18009bc70
0x000000018009bcd0  .text            1  FUN_18009bcd0
0x000000018009bd30  .text            1  FUN_18009bd30
0x000000018009bd90  .text            1  FUN_18009bd90
0x000000018009bdf0  .text            1  FUN_18009bdf0
0x000000018009be50  .text            1  FUN_18009be50
0x000000018009beb0  .text            1  FUN_18009beb0
0x000000018009bf10  .text            1  FUN_18009bf10
